Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Mutant Bacillus subtilis isolate FELIX_MS512, complete genome",Bacillus subtilis,921,921,100%,0.0,100.00,4215310,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP148120.1?report=genbank&log$=nucltop&blast_rank=11&RID=7ZWKD9BG015"",""CP148120.1"")"
Bacillus subtilis strain SH2 chromosome,Bacillus subtilis,921,921,100%,0.0,100.00,4215648,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP130596.1?report=genbank&log$=nucltop&blast_rank=12&RID=7ZWKD9BG015"",""CP130596.1"")"
"Mutant Bacillus subtilis subsp. subtilis isolate FELIX_MS361, complete genome",Bacillus subtilis subsp. subtilis,921,921,100%,0.0,100.00,4057895,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP148103.1?report=genbank&log$=nucltop&blast_rank=13&RID=7ZWKD9BG015"",""CP148103.1"")"
"Bacillus subtilis TOA, complete genome",Bacillus subtilis TO-A,921,921,100%,0.0,100.00,4057487,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP005997.1?report=genbank&log$=nucltop&blast_rank=14&RID=7ZWKD9BG015"",""CP005997.1"")"
"Bacillus subtilis strain KK195 chromosome, complete genome",Bacillus subtilis,921,921,100%,0.0,100.00,3971133,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP133449.1?report=genbank&log$=nucltop&blast_rank=15&RID=7ZWKD9BG015"",""CP133449.1"")"
"Bacillus subtilis strain DSM 23521 chromosome, complete genome",Bacillus subtilis,921,921,100%,0.0,100.00,4204738,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP120613.2?report=genbank&log$=nucltop&blast_rank=16&RID=7ZWKD9BG015"",""CP120613.2"")"
"Bacillus subtilis strain JD-014 chromosome, complete genome",Bacillus subtilis,921,921,100%,0.0,100.00,4215417,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP045478.1?report=genbank&log$=nucltop&blast_rank=17&RID=7ZWKD9BG015"",""CP045478.1"")"
"Bacillus subtilis QB928, complete genome",Bacillus subtilis QB928,921,921,100%,0.0,100.00,4146839,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP003783.1?report=genbank&log$=nucltop&blast_rank=18&RID=7ZWKD9BG015"",""CP003783.1"")"
"Bacillus subtilis strain P9_B1 chromosome, complete genome",Bacillus subtilis,921,921,100%,0.0,100.00,4063468,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP045811.1?report=genbank&log$=nucltop&blast_rank=19&RID=7ZWKD9BG015"",""CP045811.1"")"
"Bacillus subtilis strain NCIB 3610 chromosome, complete genome",Bacillus subtilis,921,921,100%,0.0,100.00,4210909,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP094361.1?report=genbank&log$=nucltop&blast_rank=20&RID=7ZWKD9BG015"",""CP094361.1"")"
"Bacillus subtilis strain Bsi chromosome, complete genome",Bacillus subtilis,921,921,100%,0.0,100.00,4220637,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP089592.1?report=genbank&log$=nucltop&blast_rank=21&RID=7ZWKD9BG015"",""CP089592.1"")"
"Bacillus subtilis strain NCIB 3610 chromosome, complete genome",Bacillus subtilis,921,921,100%,0.0,100.00,4215607,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP020102.1?report=genbank&log$=nucltop&blast_rank=22&RID=7ZWKD9BG015"",""CP020102.1"")"
B.subtilis (BD170) protein secretion gene,Bacillus subtilis,921,921,100%,0.0,100.00,641,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/Z36881.1?report=genbank&log$=nucltop&blast_rank=23&RID=7ZWKD9BG015"",""Z36881.1"")"
"Bacillus subtilis strain N1142-3at chromosome, complete genome",Bacillus subtilis,921,921,100%,0.0,100.00,4215549,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP064096.1?report=genbank&log$=nucltop&blast_rank=24&RID=7ZWKD9BG015"",""CP064096.1"")"
"Mutant Bacillus subtilis subsp. subtilis strain MGP243, complete genome",Bacillus subtilis subsp. subtilis,921,921,100%,0.0,100.00,2791462,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP116830.1?report=genbank&log$=nucltop&blast_rank=25&RID=7ZWKD9BG015"",""CP116830.1"")"
"Bacillus subtilis subsp. subtilis strain CU1050 chromosome, complete genome",Bacillus subtilis subsp. subtilis,921,921,100%,0.0,100.00,4056281,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP014166.1?report=genbank&log$=nucltop&blast_rank=26&RID=7ZWKD9BG015"",""CP014166.1"")"
"Bacillus subtilis strain LBUM979 chromosome, complete genome",Bacillus subtilis,921,921,100%,0.0,100.00,4215646,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP065789.1?report=genbank&log$=nucltop&blast_rank=27&RID=7ZWKD9BG015"",""CP065789.1"")"
"Bacillus subtilis BEST3095 DNA, complete genome",Bacillus subtilis,921,921,100%,0.0,100.00,4194929,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AP024621.1?report=genbank&log$=nucltop&blast_rank=28&RID=7ZWKD9BG015"",""AP024621.1"")"
"Bacillus subtilis strain MB8_B7 chromosome, complete genome",Bacillus subtilis,921,921,100%,0.0,100.00,4191568,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP045821.1?report=genbank&log$=nucltop&blast_rank=29&RID=7ZWKD9BG015"",""CP045821.1"")"
"Bacillus subtilis strain 50-1 chromosome, complete genome",Bacillus subtilis,921,968,100%,0.0,100.00,4040837,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP020915.1?report=genbank&log$=nucltop&blast_rank=30&RID=7ZWKD9BG015"",""CP020915.1"")"
"Bacillus subtilis strain KK026 chromosome, complete genome",Bacillus subtilis,921,921,100%,0.0,100.00,4013263,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP127089.1?report=genbank&log$=nucltop&blast_rank=31&RID=7ZWKD9BG015"",""CP127089.1"")"
"Bacillus subtilis BEST3106 DNA, complete genome",Bacillus subtilis,921,921,100%,0.0,100.00,4192623,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AP024624.1?report=genbank&log$=nucltop&blast_rank=32&RID=7ZWKD9BG015"",""AP024624.1"")"
"Bacillus subtilis strain GUCC48 chromosome, complete genome",Bacillus subtilis,921,921,100%,0.0,100.00,4215653,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP125660.1?report=genbank&log$=nucltop&blast_rank=33&RID=7ZWKD9BG015"",""CP125660.1"")"
"Bacillus subtilis isolate NRS6118 genome assembly, chromosome: NRS6118_1",Bacillus subtilis,921,921,100%,0.0,100.00,4261356,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OX419569.1?report=genbank&log$=nucltop&blast_rank=34&RID=7ZWKD9BG015"",""OX419569.1"")"
"Mutant Bacillus subtilis subsp. subtilis strain MGP112, complete genome",Bacillus subtilis subsp. subtilis,921,921,100%,0.0,100.00,3101274,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP116839.1?report=genbank&log$=nucltop&blast_rank=35&RID=7ZWKD9BG015"",""CP116839.1"")"
"Bacillus subtilis strain NCIB_3610 chromosome, complete genome",Bacillus subtilis,921,921,100%,0.0,100.00,4215634,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP130597.1?report=genbank&log$=nucltop&blast_rank=36&RID=7ZWKD9BG015"",""CP130597.1"")"
"Bacillus subtilis strain O4 chromosome, complete genome",Bacillus subtilis,921,921,100%,0.0,100.00,4217848,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP112873.1?report=genbank&log$=nucltop&blast_rank=37&RID=7ZWKD9BG015"",""CP112873.1"")"
"Bacillus subtilis isolate NRS6105 genome assembly, chromosome: NRS6105_1",Bacillus subtilis,921,921,100%,0.0,100.00,4090679,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OX419576.1?report=genbank&log$=nucltop&blast_rank=38&RID=7ZWKD9BG015"",""OX419576.1"")"
"Bacillus subtilis strain DSM 1090 chromosome, complete genome",Bacillus subtilis,921,921,100%,0.0,100.00,4140514,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP120622.2?report=genbank&log$=nucltop&blast_rank=39&RID=7ZWKD9BG015"",""CP120622.2"")"
"Bacillus subtilis strain N33 chromosome, complete genome",Bacillus subtilis,921,921,100%,0.0,100.00,4484238,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP163458.1?report=genbank&log$=nucltop&blast_rank=40&RID=7ZWKD9BG015"",""CP163458.1"")"
"Bacillus subtilis strain BJQ0005 chromosome, complete genome",Bacillus subtilis,921,921,100%,0.0,100.00,4112497,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP047485.1?report=genbank&log$=nucltop&blast_rank=41&RID=7ZWKD9BG015"",""CP047485.1"")"
"Mutant Bacillus subtilis subsp. subtilis strain MGP161, complete genome",Bacillus subtilis subsp. subtilis,921,921,100%,0.0,100.00,2911905,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP116850.1?report=genbank&log$=nucltop&blast_rank=42&RID=7ZWKD9BG015"",""CP116850.1"")"
"Mutant Bacillus subtilis subsp. subtilis isolate FELIX_MS438, complete genome",Bacillus subtilis subsp. subtilis,921,921,100%,0.0,100.00,4216868,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP148104.1?report=genbank&log$=nucltop&blast_rank=43&RID=7ZWKD9BG015"",""CP148104.1"")"
"Mutant Bacillus subtilis subsp. subtilis strain MGP052, complete genome",Bacillus subtilis subsp. subtilis,921,921,100%,0.0,100.00,3229220,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP116859.1?report=genbank&log$=nucltop&blast_rank=44&RID=7ZWKD9BG015"",""CP116859.1"")"
"Mutant Bacillus subtilis subsp. subtilis strain MGP056, complete genome",Bacillus subtilis subsp. subtilis,921,921,100%,0.0,100.00,3193367,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP116843.1?report=genbank&log$=nucltop&blast_rank=45&RID=7ZWKD9BG015"",""CP116843.1"")"
"Bacillus subtilis subsp. subtilis strain 168G chromosome, complete genome",Bacillus subtilis subsp. subtilis,921,921,100%,0.0,100.00,4214812,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP016852.1?report=genbank&log$=nucltop&blast_rank=46&RID=7ZWKD9BG015"",""CP016852.1"")"
"Mutant Bacillus subtilis subsp. subtilis strain MGP144, complete genome",Bacillus subtilis subsp. subtilis,921,921,100%,0.0,100.00,2944408,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP116851.1?report=genbank&log$=nucltop&blast_rank=47&RID=7ZWKD9BG015"",""CP116851.1"")"
"Bacillus subtilis strain SRCM102748 chromosome, complete genome",Bacillus subtilis,921,921,100%,0.0,100.00,4210797,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP028212.1?report=genbank&log$=nucltop&blast_rank=48&RID=7ZWKD9BG015"",""CP028212.1"")"
"Bacillus subtilis strain ID-A05 chromosome, complete genome",Bacillus subtilis,921,921,100%,0.0,100.00,4177304,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP066380.1?report=genbank&log$=nucltop&blast_rank=49&RID=7ZWKD9BG015"",""CP066380.1"")"
"Bacillus subtilis BEST3109 DNA, complete genome",Bacillus subtilis,921,921,100%,0.0,100.00,4192790,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AP024625.1?report=genbank&log$=nucltop&blast_rank=50&RID=7ZWKD9BG015"",""AP024625.1"")"
"Mutant Bacillus subtilis subsp. subtilis strain MGP165, complete genome",Bacillus subtilis subsp. subtilis,921,921,100%,0.0,100.00,2907045,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP116835.1?report=genbank&log$=nucltop&blast_rank=51&RID=7ZWKD9BG015"",""CP116835.1"")"
"Mutant Bacillus subtilis subsp. subtilis strain MGP133, complete genome",Bacillus subtilis subsp. subtilis,921,921,100%,0.0,100.00,3019354,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP116852.1?report=genbank&log$=nucltop&blast_rank=52&RID=7ZWKD9BG015"",""CP116852.1"")"
"Mutant Bacillus subtilis subsp. subtilis strain MGP229, complete genome",Bacillus subtilis subsp. subtilis,921,921,100%,0.0,100.00,2822696,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP116846.1?report=genbank&log$=nucltop&blast_rank=53&RID=7ZWKD9BG015"",""CP116846.1"")"
"Bacillus subtilis isolate NRS6190 genome assembly, chromosome: NRS6190_1",Bacillus subtilis,921,921,100%,0.0,100.00,4105025,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OX419551.1?report=genbank&log$=nucltop&blast_rank=54&RID=7ZWKD9BG015"",""OX419551.1"")"
"Bacillus subtilis strain YB-187 chromosome, complete genome",Bacillus subtilis,921,921,100%,0.0,100.00,4215643,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP151685.1?report=genbank&log$=nucltop&blast_rank=55&RID=7ZWKD9BG015"",""CP151685.1"")"
"Bacillus subtilis BEST3125 DNA, complete genome",Bacillus subtilis,921,921,100%,0.0,100.00,4190030,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AP024626.1?report=genbank&log$=nucltop&blast_rank=56&RID=7ZWKD9BG015"",""AP024626.1"")"
"Bacillus subtilis subsp. subtilis strain delta6, complete genome",Bacillus subtilis subsp. subtilis,921,921,100%,0.0,100.00,3876919,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP015975.1?report=genbank&log$=nucltop&blast_rank=57&RID=7ZWKD9BG015"",""CP015975.1"")"
"Mutant Bacillus subtilis subsp. subtilis strain MGP136, complete genome",Bacillus subtilis subsp. subtilis,921,921,100%,0.0,100.00,2973779,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP116837.1?report=genbank&log$=nucltop&blast_rank=58&RID=7ZWKD9BG015"",""CP116837.1"")"
"Mutant Bacillus subtilis subsp. subtilis strain MGP246, complete genome",Bacillus subtilis subsp. subtilis,921,921,100%,0.0,100.00,2770330,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP116844.1?report=genbank&log$=nucltop&blast_rank=59&RID=7ZWKD9BG015"",""CP116844.1"")"
"Bacillus subtilis subsp. subtilis 6051-HGW, complete genome",Bacillus subtilis subsp. subtilis 6051-HGW,921,921,100%,0.0,100.00,4215610,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP003329.1?report=genbank&log$=nucltop&blast_rank=60&RID=7ZWKD9BG015"",""CP003329.1"")"
"Bacillus subtilis strain JNF2 chromosome, complete genome",Bacillus subtilis,921,921,100%,0.0,100.00,4215642,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP150487.1?report=genbank&log$=nucltop&blast_rank=61&RID=7ZWKD9BG015"",""CP150487.1"")"
"Mutant Bacillus subtilis subsp. subtilis strain MGP181, complete genome",Bacillus subtilis subsp. subtilis,921,921,100%,0.0,100.00,2891839,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP116849.1?report=genbank&log$=nucltop&blast_rank=62&RID=7ZWKD9BG015"",""CP116849.1"")"
"Mutant Bacillus subtilis subsp. subtilis strain MGP064, complete genome",Bacillus subtilis subsp. subtilis,921,921,100%,0.0,100.00,3140777,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP116856.1?report=genbank&log$=nucltop&blast_rank=63&RID=7ZWKD9BG015"",""CP116856.1"")"
"Mutant Bacillus subtilis subsp. subtilis strain MGP234, complete genome",Bacillus subtilis subsp. subtilis,921,921,100%,0.0,100.00,2822633,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP116831.1?report=genbank&log$=nucltop&blast_rank=64&RID=7ZWKD9BG015"",""CP116831.1"")"
"Bacillus subtilis strain N1303-2Ay chromosome, complete genome",Bacillus subtilis,921,921,100%,0.0,100.00,4215582,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP064095.1?report=genbank&log$=nucltop&blast_rank=65&RID=7ZWKD9BG015"",""CP064095.1"")"
"Mutant Bacillus subtilis subsp. subtilis strain MGP033, complete genome",Bacillus subtilis subsp. subtilis,921,921,100%,0.0,100.00,3323722,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP116861.1?report=genbank&log$=nucltop&blast_rank=66&RID=7ZWKD9BG015"",""CP116861.1"")"
"Mutant Bacillus subtilis subsp. subtilis strain MGP253, complete genome",Bacillus subtilis subsp. subtilis,921,921,100%,0.0,100.00,2749274,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP116829.1?report=genbank&log$=nucltop&blast_rank=67&RID=7ZWKD9BG015"",""CP116829.1"")"
"Bacillus subtilis subsp. subtilis strain UCMB5121 chromosome, complete genome",Bacillus subtilis subsp. subtilis,921,921,100%,0.0,100.00,4059834,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP051465.1?report=genbank&log$=nucltop&blast_rank=68&RID=7ZWKD9BG015"",""CP051465.1"")"
"Bacillus subtilis strain SRCM103971 chromosome, complete genome",Bacillus subtilis,921,921,100%,0.0,100.00,4111350,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP035166.1?report=genbank&log$=nucltop&blast_rank=69&RID=7ZWKD9BG015"",""CP035166.1"")"
"Bacillus subtilis strain SF106 chromosome, complete genome",Bacillus subtilis,921,921,100%,0.0,100.00,4011226,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP104962.1?report=genbank&log$=nucltop&blast_rank=70&RID=7ZWKD9BG015"",""CP104962.1"")"
"Bacillus subtilis isolate NRS6107 genome assembly, chromosome: NRS6107_1",Bacillus subtilis,921,921,100%,0.0,100.00,4101676,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OX419567.1?report=genbank&log$=nucltop&blast_rank=71&RID=7ZWKD9BG015"",""OX419567.1"")"
"Mutant Bacillus subtilis isolate FELIX_MS499, complete genome",Bacillus subtilis,921,921,100%,0.0,100.00,4215274,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP148110.1?report=genbank&log$=nucltop&blast_rank=72&RID=7ZWKD9BG015"",""CP148110.1"")"
"Bacillus subtilis strain KK001 chromosome, complete genome",Bacillus subtilis,921,921,100%,0.0,100.00,4013262,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP133412.1?report=genbank&log$=nucltop&blast_rank=73&RID=7ZWKD9BG015"",""CP133412.1"")"
"Bacillus subtilis strain FJAT-4 chromosome, complete genome",Bacillus subtilis,921,921,100%,0.0,100.00,4215634,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP082924.1?report=genbank&log$=nucltop&blast_rank=74&RID=7ZWKD9BG015"",""CP082924.1"")"
"Bacillus subtilis subsp. subtilis strain BM107 chromosome, complete genome",Bacillus subtilis subsp. subtilis,921,921,100%,0.0,100.00,4215642,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP178213.1?report=genbank&log$=nucltop&blast_rank=75&RID=7ZWKD9BG015"",""CP178213.1"")"
"Bacillus subtilis strain P8_B3 chromosome, complete genome",Bacillus subtilis,921,921,100%,0.0,100.00,4215511,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP045812.1?report=genbank&log$=nucltop&blast_rank=76&RID=7ZWKD9BG015"",""CP045812.1"")"
"Bacillus subtilis BEST3145 DNA, complete genome",Bacillus subtilis,921,921,100%,0.0,100.00,4217110,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AP024628.1?report=genbank&log$=nucltop&blast_rank=77&RID=7ZWKD9BG015"",""AP024628.1"")"
"Bacillus subtilis BEST3136 DNA, complete genome",Bacillus subtilis,921,921,100%,0.0,100.00,4194343,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AP024627.1?report=genbank&log$=nucltop&blast_rank=78&RID=7ZWKD9BG015"",""AP024627.1"")"
"Bacillus subtilis strain CM66 chromosome, complete genome",Bacillus subtilis,921,921,100%,0.0,100.00,4215629,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP137756.1?report=genbank&log$=nucltop&blast_rank=79&RID=7ZWKD9BG015"",""CP137756.1"")"
"Bacillus subtilis strain KRS015 chromosome, complete genome",Bacillus subtilis,921,921,100%,0.0,100.00,4331506,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP125762.1?report=genbank&log$=nucltop&blast_rank=80&RID=7ZWKD9BG015"",""CP125762.1"")"
Mutant Bacillus subtilis isolate FELIX_MS255 sequence,Bacillus subtilis,921,921,100%,0.0,100.00,4215606,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP139744.1?report=genbank&log$=nucltop&blast_rank=81&RID=7ZWKD9BG015"",""CP139744.1"")"
"Bacillus subtilis strain MBI 600 chromosome, complete genome",Bacillus subtilis,921,921,100%,0.0,100.00,4076736,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP033205.1?report=genbank&log$=nucltop&blast_rank=82&RID=7ZWKD9BG015"",""CP033205.1"")"
"Mutant Bacillus subtilis subsp. subtilis strain MGP192, complete genome",Bacillus subtilis subsp. subtilis,921,921,100%,0.0,100.00,2868509,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP116848.1?report=genbank&log$=nucltop&blast_rank=83&RID=7ZWKD9BG015"",""CP116848.1"")"
"Bacillus subtilis strain PS832, complete genome",Bacillus subtilis,921,921,100%,0.0,100.00,4215367,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP010053.1?report=genbank&log$=nucltop&blast_rank=84&RID=7ZWKD9BG015"",""CP010053.1"")"
"Mutant Bacillus subtilis isolate FELIX_MS506, complete genome",Bacillus subtilis,921,921,100%,0.0,100.00,4215049,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP148114.1?report=genbank&log$=nucltop&blast_rank=85&RID=7ZWKD9BG015"",""CP148114.1"")"
Bacillus subtilis strain A10 chromosome,Bacillus subtilis,921,921,100%,0.0,100.00,4138018,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP054050.1?report=genbank&log$=nucltop&blast_rank=86&RID=7ZWKD9BG015"",""CP054050.1"")"
"Bacillus subtilis subsp. subtilis strain NRCB002 chromosome, complete genome",Bacillus subtilis subsp. subtilis,921,921,100%,0.0,100.00,4211270,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP187577.1?report=genbank&log$=nucltop&blast_rank=87&RID=7ZWKD9BG015"",""CP187577.1"")"
"Mutant Bacillus subtilis subsp. subtilis strain MGP063, complete genome",Bacillus subtilis subsp. subtilis,921,921,100%,0.0,100.00,3168375,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP116857.1?report=genbank&log$=nucltop&blast_rank=88&RID=7ZWKD9BG015"",""CP116857.1"")"
"Bacillus subtilis subsp. subtilis strain MCC 0260 chromosome, complete genome",Bacillus subtilis subsp. subtilis,921,921,100%,0.0,100.00,4116999,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP147410.1?report=genbank&log$=nucltop&blast_rank=89&RID=7ZWKD9BG015"",""CP147410.1"")"
"Bacillus subtilis strain 21855 chromosome, complete genome",Bacillus subtilis,921,921,100%,0.0,100.00,4248845,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP118167.1?report=genbank&log$=nucltop&blast_rank=90&RID=7ZWKD9BG015"",""CP118167.1"")"
